CASE_NUMBER,Date Rptd,DATE OCC,TIME OCC,COD_AREA,Rpt Dist No,Part 1-2,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used Cd,Status,Status Desc,LOCATION,Cross Street,LAT,LON,Custom
201804035,1/1/2020,1/1/2020,1430,18,1802,2,745,53,F,B,501,-9,IC,Invest Cont,8700 S FIGUEROA ST,,33.9587,-118.2827,8700 FIGUER ST
201316820,9/9/2020,9/8/2020,1700,13,1377,2,930,53,M,B,501,511,AO,Adult Other,5400 DUARTE ST,,33.9934,-118.2423,5400 DUARTE ST
201607262,3/19/2020,2/3/2020,1015,16,1617,1,440,28,M,W,504,-9,IC,Invest Cont,SHERMAN GROVE AV,FOOTHILL BL,34.2597,-118.3199,SHER GROVE AV
201600625,4/7/2020,4/4/2020,1300,16,1641,1,420,73,M,B,104,-9,IC,Invest Cont,13500 TERRA BELLA ST,,34.252,-118.4269,1350 TERRA ST
201319674,11/8/2020,11/8/2020,1940,13,1373,2,745,37,M,B,122,400,IC,Invest Cont,54TH,AVALON,33.9933,-118.2652,54TH4TH
221008844,5/6/2022,11/1/2020,130,10,1029,1,510,0,,,101,-9,IC,Invest Cont,VALJEAN ST,VANOWEN AV,34.1939,-118.4859,VALJ ST
201614109,10/22/2020,10/21/2020,1910,16,1663,1,310,32,M,H,203,-9,IC,Invest Cont,8900 LAUREL CANYON BL,,34.2367,-118.4087,8900 LAURELBL
210204054,1/2/2021,12/31/2020,1500,2,236,1,510,0,,,101,-9,IC,Invest Cont,100 N WESTLAKE AV,,34.066,-118.2688,100 WESTLAK AV
201321708,12/25/2020,12/25/2020,2000,13,1367,1,250,0,M,W,101,102,IC,Invest Cont,45TH ST,HONDURAS ST,34.0027,-118.2441,45TH ST ST
201510196,5/18/2020,5/12/2020,1500,15,1557,1,331,40,F,W,101,-9,IC,Invest Cont,10800 HUSTON ST,,34.1599,-118.3659,1080 HUSTO ST
201909906,5/16/2020,5/16/2020,2330,19,1988,2,626,36,M,W,501,400,AA,Adult Arrest,13400 BURTON ST,,34.2208,-118.4247,1340 BURTO ST
201709020,5/12/2020,5/12/2020,1100,17,1727,1,310,54,F,B,707,-9,IC,Invest Cont,19200 CELTIC ST,,34.2697,-118.551,1920 CELTI ST
