DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
202018663,2020 Dec 21 12:00:00 AM,2020 Dec 21 12:00:00 AM,1930,20,Olympic,2031,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0104 0216 0325 1018 1822 0378,0,X,X,202,LIQUOR STORE,,,IC,Invest Cont,440,,,,700 S  WESTERN                      AV,,34.0599,-118.3139
201511591,2020 Jun 19 12:00:00 AM,2020 Jun 01 12:00:00 AM,1225,15,N Hollywood,1585,2,354,THEFT OF IDENTITY,0930 0928 0377,26,M,W,750,CYBERSPACE,,,IC,Invest Cont,354,,,,10900    BLUFFSIDE                    DR,,34.1414,-118.3686
201417322,2020 Sep 13 12:00:00 AM,2020 Sep 12 12:00:00 AM,1100,14,Pacific,1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,40,F,W,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,341,,,,500    WORLD WAY,,33.9427,-118.4052
201706681,2020 Mar 02 12:00:00 AM,2020 Mar 01 12:00:00 AM,1500,17,Devonshire,1716,1,330,BURGLARY FROM VEHICLE,0358 0344 1202,72,M,W,104,DRIVEWAY,,,IC,Invest Cont,330,,,,11700    VERADA                       AV,,34.2831,-118.51
211504769,2021 Jan 19 12:00:00 AM,2020 Dec 22 12:00:00 AM,1440,15,N Hollywood,1591,1,480,BIKE - STOLEN,344,44,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,480,,,,3500    LAUREL CANYON                BL,,34.1325,-118.3974
202013146,2020 Aug 07 12:00:00 AM,2020 Aug 06 12:00:00 AM,1900,20,Olympic,2093,1,330,BURGLARY FROM VEHICLE,0344 0216 0209 1307 1609 0358 0206 0321,36,M,H,101,STREET,,,IC,Invest Cont,330,,,,2000 W  WASHINGTON                   BL,,34.04,-118.3029
201809320,2020 Apr 08 12:00:00 AM,2020 Apr 06 12:00:00 AM,1400,18,Southeast,1846,1,310,BURGLARY,1822 0358 0329,61,F,H,511,PROJECT/TENEMENT/PUBLIC HOUSING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1400 E  114TH                        ST,,33.9311,-118.2493
201804168,2020 Jan 03 12:00:00 AM,2020 Jan 02 12:00:00 AM,1700,18,Southeast,1821,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344 0385,40,M,H,101,STREET,,,IC,Invest Cont,420,,,,800 W  94TH                         ST,,33.951,-118.2898
201708047,2020 Apr 03 12:00:00 AM,2020 Apr 02 12:00:00 AM,245,17,Devonshire,1777,1,330,BURGLARY FROM VEHICLE,0344 0321 1609 1202 0377,71,M,W,101,STREET,,,IC,Invest Cont,330,,,,WOODLEY                      AV,LASSEN                       ST,34.2502,-118.4849
201420301,2020 Nov 15 12:00:00 AM,2020 Nov 15 12:00:00 AM,2030,14,Pacific,1465,2,900,VIOLATION OF COURT ORDER,344,58,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,900,,,,12000    ANETA                        ST,,33.9858,-118.4083
201909752,2020 May 13 12:00:00 AM,2020 May 09 12:00:00 AM,2119,19,Mission,1961,1,310,BURGLARY,1607 0344 1402 1420,41,M,H,120,STORAGE SHED,,,AA,Adult Arrest,310,998,,,9200 N  SEPULVEDA                    BL,,34.2376,-118.4677
201816541,2020 Sep 01 12:00:00 AM,2020 Aug 31 12:00:00 AM,2030,18,Southeast,1846,1,210,ROBBERY,0344 0342 0429 0448 0400 1822 0305 1300 0370 0858,25,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,1300 E  115TH                        ST,,33.9303,-118.2518
201611517,2020 Jul 28 12:00:00 AM,2020 Jul 28 12:00:00 AM,930,16,Foothill,1601,2,625,OTHER ASSAULT,0913 0360 0416,96,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,625,,,,11900    BROMONT                      AV,,34.2864,-118.4112
202115000,2020 Oct 18 12:00:00 AM,2020 Oct 18 12:00:00 AM,1,21,Topanga,2161,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000 0443 1813,31,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,24300    CARIS                        ST,,34.1803,-118.6548
201508964,2020 Apr 17 12:00:00 AM,2020 Apr 11 12:00:00 AM,1325,15,N Hollywood,1583,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,36,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,4100    TUJUNGA                      AV,,34.1451,-118.3875
201612550,2020 Sep 03 12:00:00 AM,2020 Sep 02 12:00:00 AM,1915,16,Foothill,1659,2,903,CONTEMPT OF COURT,2038 0913,36,F,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,903,,,,9000    AMANITA                      AV,,34.2453,-118.2683
201711968,2020 Aug 07 12:00:00 AM,2020 Aug 07 12:00:00 AM,255,17,Devonshire,1771,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,20400    PRAIRIE                      ST,,34.2391,-118.578
201715003,2020 Nov 04 12:00:00 AM,2020 Nov 04 12:00:00 AM,1930,17,Devonshire,1792,2,624,BATTERY - SIMPLE ASSAULT,1251 0913 0553 0400,18,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,20000    LINNEA                       CT,,34.2272,-118.5697
201507380,2020 Mar 09 12:00:00 AM,2020 Mar 08 12:00:00 AM,2215,15,N Hollywood,1563,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385,66,M,W,101,STREET,,,IC,Invest Cont,331,,,,4500    MORELLA                      AV,,34.1522,-118.39
201312048,2020 Jun 09 12:00:00 AM,2020 Jun 08 12:00:00 AM,1430,13,Newton,1331,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0358,0,X,X,720,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,740,,,,100 W  30TH                         ST,,34.0218,-118.2707
201613106,2020 Sep 22 12:00:00 AM,2020 Sep 22 12:00:00 AM,417,16,Foothill,1651,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,29,M,H,301,GAS STATION,,,IC,Invest Cont,442,,,,13200    OSBORNE                      ST,,34.2461,-118.4205
201707325,2020 Mar 13 12:00:00 AM,2020 Mar 13 12:00:00 AM,2045,17,Devonshire,1799,1,310,BURGLARY,1822 0216 0206 1251 0344 1609,24,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,16000    COUSTEAU                     LN,,34.2249,-118.4792
202017315,2020 Nov 18 12:00:00 AM,2020 Nov 18 12:00:00 AM,810,20,Olympic,2005,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0913 0416 0344,29,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440,624,,,ROSEWOOD,HOBART,34.0799,-118.3025
201706866,2020 Feb 23 12:00:00 AM,2020 Feb 23 12:00:00 AM,1600,17,Devonshire,1788,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,8900    BALBOA                       BL,,34.2322,-118.5113
201709901,2020 Jun 10 12:00:00 AM,2020 Jun 01 12:00:00 AM,900,17,Devonshire,1785,1,320,"BURGLARY, ATTEMPTED",1607,54,F,W,221,PUBLIC STORAGE,,,IC,Invest Cont,320,,,,18500    EDDY                         ST,,34.2296,-118.537
201908056,2020 Mar 20 12:00:00 AM,2020 Mar 20 12:00:00 AM,1649,19,Mission,1985,1,310,BURGLARY,344,28,F,H,409,BEAUTY SUPPLY STORE,,,AO,Adult Other,310,,,,8400    VAN NUYS                     BL,,34.2229,-118.4487
201314357,2020 Jul 21 12:00:00 AM,2020 Jul 21 12:00:00 AM,1200,13,Newton,1395,2,624,BATTERY - SIMPLE ASSAULT,0400 0444 1822,33,F,H,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7000    AVALON                       BL,,33.976,-118.2652
201818374,2020 Sep 18 12:00:00 AM,2020 Sep 11 12:00:00 AM,1028,18,Southeast,1863,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0349 0344,45,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,120TH                        ST,SAN PEDRO,33.9237,-118.2696
201316211,2020 Aug 30 12:00:00 AM,2020 Aug 30 12:00:00 AM,1325,13,Newton,1313,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,17TH                         ST,SAN PEDRO                    ST,34.029,-118.2565
201910029,2020 May 20 12:00:00 AM,2020 May 20 12:00:00 AM,1200,19,Mission,1987,1,510,VEHICLE - STOLEN,,0,,,301,GAS STATION,,,IC,Invest Cont,510,,,,13600    ROSCOE                       BL,,34.2269,-118.4394
201821786,2020 Dec 08 12:00:00 AM,2020 Dec 08 12:00:00 AM,815,18,Southeast,1862,2,624,BATTERY - SIMPLE ASSAULT,1822 0110 0416 1310 1313,29,M,B,142,DRIVE THRU*,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,11400 S  FIGUEROA                     ST,,33.9304,-118.2826
201609397,2020 May 25 12:00:00 AM,2020 May 24 12:00:00 AM,1930,16,Foothill,1681,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,ROSCOE,WHITSETT                     AV,34.2217,-118.4053
201412846,2020 Jun 25 12:00:00 AM,2020 Jun 25 12:00:00 AM,1940,14,Pacific,1435,2,624,BATTERY - SIMPLE ASSAULT,400,16,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,CHARNOCK                     RD,MCLAUGHLIN,34.0124,-118.4276
201406637,2020 Feb 15 12:00:00 AM,2020 Feb 14 12:00:00 AM,2300,14,Pacific,1469,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,JA,Juv Arrest,510,,,,5800 W  CENTINELA                    AV,,33.9767,-118.3838
